,boat_type,manufacturer,type,year_built,length,width,material,location,views_last_7_days,old_currency,price_euro,country
5915,Flybridge,Princess power boats,Used boat,2012,22.35,5.49,GRP,Croatia (Hrvatska),62,EUR,1595000.0,Croatia
5916,Flybridge,Princess power boats,Diesel,2012,22.35,5.49,GRP,Croatia (Hrvatska),62,EUR,1595000.0,Croatia
5917,Motor Yacht,Sunseeker power boats,Used boat,2017,20.73,5.27,GRP,Spain Â» Mallorca Â» Palma de Mallorca,57,GBP,1690990.0,Spain
5918,Motor Yacht,Sunseeker power boats,Diesel,2017,20.73,5.27,GRP,Spain Â» Mallorca Â» Palma de Mallorca,57,GBP,1690990.0,Spain
5919,Flybridge,MCY power boats,Used boat,2016,19.82,5.21,PVC,"Spain Â» PORTO PICCOLO, Espagne",91,EUR,1590000.0,Spain
5920,Flybridge,MCY power boats,Diesel,2016,19.82,5.21,PVC,"Spain Â» PORTO PICCOLO, Espagne",91,EUR,1590000.0,Spain
5921,Hardtop,Pershing power boats,Used boat,2015,18.94,4.8,GRP,Malta Â» Malta,106,EUR,1590000.0,Malta
5922,Hardtop,Pershing power boats,Diesel,2015,18.94,4.8,GRP,Malta Â» Malta,106,EUR,1590000.0,Malta
5923,Flybridge,Princess power boats,Used boat,2018,19.43,5.03,GRP,Croatia (Hrvatska) Â» Adria,149,EUR,1590000.0,Croatia
5924,Flybridge,Princess power boats,Diesel,2018,19.43,5.03,GRP,Croatia (Hrvatska) Â» Adria,149,EUR,1590000.0,Croatia
5925,Passenger boat,,Used boat,1971,1.04,11.61,Steel,Netherlands Â» Omgeving Nijmegen,78,EUR,1590000.0,Netherlands
5926,Passenger boat,,Diesel,1971,1.04,11.61,Steel,Netherlands Â» Omgeving Nijmegen,78,EUR,1590000.0,Netherlands
5927,Motor Yacht,Azimut power boats,Used boat,2016,20.8,5.18,,Croatia (Hrvatska),61,EUR,1579000.0,Croatia
5928,Motor Yacht,Sunseeker power boats,Used boat,2008,26.48,6.5,GRP,Croatia (Hrvatska) Â» Split,192,EUR,1575000.0,Croatia
5929,Motor Yacht,Sunseeker power boats,Diesel,2008,26.48,6.5,GRP,Croatia (Hrvatska) Â» Split,192,EUR,1575000.0,Croatia
5930,Motor Yacht,Cranchi power boats,new boat from stock,2020,17.2,4.85,GRP,Italy Â» Veneto Â» San Giorgi,63,EUR,1567638.0,Italy
5931,Motor Yacht,Cranchi power boats,Diesel,2020,17.2,4.85,GRP,Italy Â» Veneto Â» San Giorgi,63,EUR,1567638.0,Italy
5932,Motor Yacht,Sunseeker power boats,Used boat,2017,21.7,5.15,GRP,France Â» Golf Juan,113,GBP,1661835.0,France
5933,Motor Yacht,Sunseeker power boats,Diesel,2017,21.7,5.15,GRP,France Â» Golf Juan,113,GBP,1661835.0,France
5934,Hardtop,Sunseeker power boats,new boat from stock,2021,18.24,4.7,,Switzerland Â» Poole / GB ,351,GBP,1654704.85,Switzerland
5935,Hardtop,Sunseeker power boats,Diesel,2021,18.24,4.7,,Switzerland Â» Poole / GB ,351,GBP,1654704.85,Switzerland
5936,Motor Yacht,Galeon power boats,new boat from stock,0,20.8,5.0,GRP,Germany Â» AB WERFT,50,EUR,1554300.0,Germany
5937,Motor Yacht,Galeon power boats,Diesel,0,20.8,5.0,GRP,Germany Â» AB WERFT,50,EUR,1554300.0,Germany
5938,Flybridge,Azimut power boats,Used boat,2015,20.15,5.23,,France Â» Mittelmeer,112,EUR,1550000.0,France
5939,Flybridge,Azimut power boats,Diesel,2015,20.15,5.23,,France Â» Mittelmeer,112,EUR,1550000.0,France
5940,Motor Yacht,Fairline power boats,Used boat,2014,24.11,5.73,GRP,France Â» Beaulieu-sur-Mer,70,EUR,1550000.0,France
5941,Motor Yacht,Fairline power boats,Diesel,2014,24.11,5.73,GRP,France Â» Beaulieu-sur-Mer,70,EUR,1550000.0,France
5942,Motor Yacht,MCY power boats,Used boat,2015,19.82,5.21,GRP,Croatia (Hrvatska) Â» Split,53,EUR,1550000.0,Croatia
5943,Motor Yacht,MCY power boats,Diesel,2015,19.82,5.21,GRP,Croatia (Hrvatska) Â» Split,53,EUR,1550000.0,Croatia
5944,Motor Yacht,Sunseeker power boats,Used boat,2011,25.6,6.13,GRP,France Â» Antibes,100,EUR,1850000.0,France
5945,Motor Yacht,Sunseeker power boats,Diesel,2011,25.6,6.13,GRP,France Â» Antibes,100,EUR,1850000.0,France
5946,Flybridge,Azimut power boats,Used boat,2012,23.7,5.82,GRP,Turkey Â» Southern Turkey,46,EUR,1850000.0,Turkey
5947,Flybridge,Azimut power boats,Diesel,2012,23.7,5.82,GRP,Turkey Â» Southern Turkey,46,EUR,1850000.0,Turkey
5948,Motor Yacht,Cranchi power boats,new boat from stock,2020,17.2,4.85,GRP,"Italy Â» Veneto Â» Marine Test Centre ""Italo Monzino""",174,EUR,1839768.0,Italy
5949,Motor Yacht,Cranchi power boats,Diesel,2020,17.2,4.85,GRP,"Italy Â» Veneto Â» Marine Test Centre ""Italo Monzino""",174,EUR,1839768.0,Italy
5950,Flybridge,Cranchi power boats,new boat from stock,2020,17.2,4.85,,France,53,EUR,1838310.0,France
5951,Motor Yacht,Pershing power boats,Used boat,2008,23.98,5.2,GRP,Croatia (Hrvatska),91,EUR,1800000.0,Croatia
5952,Motor Yacht,Pershing power boats,Diesel,2008,23.98,5.2,GRP,Croatia (Hrvatska),91,EUR,1800000.0,Croatia
5953,Flybridge,Ferretti power boats,Used boat,2009,25.3,6.26,GRP,Croatia (Hrvatska),59,EUR,1800000.0,Croatia
5954,Flybridge,Ferretti power boats,Diesel,2009,25.3,6.26,GRP,Croatia (Hrvatska),59,EUR,1800000.0,Croatia
5955,Flybridge,,Used boat,2008,26.02,6.26,GRP,Croatia (Hrvatska),71,EUR,1800000.0,Croatia
5956,Flybridge,,Diesel,2008,26.02,6.26,GRP,Croatia (Hrvatska),71,EUR,1800000.0,Croatia
5957,Flybridge,Princess power boats,Used boat,2012,22.0,5.0,PVC,"Greece Â» Athens, GrÃ¨ce",62,EUR,1800000.0,Greece
5958,Flybridge,Princess power boats,Diesel,2012,22.0,5.0,PVC,"Greece Â» Athens, GrÃ¨ce",62,EUR,1800000.0,Greece
5959,Mega Yacht,,Used boat,1999,33.1,7.45,GRP,Netherlands,108,EUR,1800000.0,Netherlands
5960,Flybridge,Princess power boats,Used boat,2010,24.1,5.72,GRP,Spain Â» onbekend,136,EUR,1795000.0,Spain
5961,Flybridge,Princess power boats,Diesel,2010,24.1,5.72,GRP,Spain Â» onbekend,136,EUR,1795000.0,Spain
5962,Motor Yacht,Sunseeker power boats,Used boat,2010,25.6,6.35,GRP,Spain Â» Murcia,114,EUR,1795000.0,Spain
5963,Motor Yacht,Sunseeker power boats,Diesel,2010,25.6,6.35,GRP,Spain Â» Murcia,114,EUR,1795000.0,Spain
5964,Motor Yacht,Sunseeker power boats,Used boat,2012,22.25,5.52,GRP,Australia Â» Perth,28,GBP,1906731.17,Australia
5965,Motor Yacht,Sunseeker power boats,Diesel,2012,22.25,5.52,GRP,Australia Â» Perth,28,GBP,1906731.17,Australia
5966,Motor Yacht,VanDutch power boats,new boat on order,2020,16.49,4.53,,France,127,EUR,1794000.0,France
5967,Motor Yacht,VanDutch power boats,Diesel,2020,16.49,4.53,,France,127,EUR,1794000.0,France
5968,Motor Yacht,,new boat from stock,2020,19.98,5.54,,Germany Â» Dubai & VAE,68,EUR,1794000.0,Germany
5969,Motor Yacht,,Diesel,2020,19.98,5.54,,Germany Â» Dubai & VAE,68,EUR,1794000.0,Germany
5970,Flybridge,Rodman power boats,Used boat,2012,23.16,5.67,GRP,Spain,28,EUR,1790000.0,Spain
5971,Flybridge,Rodman power boats,Diesel,2012,23.16,5.67,GRP,Spain,28,EUR,1790000.0,Spain
5972,Motor Yacht,BLUEGAME power boats,new boat from stock,2019,18.8,5.38,GRP,Netherlands,39,EUR,1785000.0,Netherlands
5973,Flybridge,Sunseeker power boats,Used boat,2014,22.99,5.73,GRP,Montenegro Â» Montenegro ,142,GBP,2326569.0,Montenegro
5974,Flybridge,Sunseeker power boats,Diesel,2014,22.99,5.73,GRP,Montenegro Â» Montenegro ,142,GBP,2326569.0,Montenegro
5975,Flybridge,Sunseeker power boats,Used boat,2014,23.16,5.52,GRP,Montenegro Â» Tivat,61,GBP,2326569.0,Montenegro
5976,Flybridge,Sunseeker power boats,Diesel,2014,23.16,5.52,GRP,Montenegro Â» Tivat,61,GBP,2326569.0,Montenegro
5977,Flybridge,Prestige Yachts power boats,Used boat,2019,19.03,5.15,PVC,"France Â» Cannes, France",83,EUR,2170000.0,France
5978,Flybridge,Prestige Yachts power boats,Diesel,2019,19.03,5.15,PVC,"France Â» Cannes, France",83,EUR,2170000.0,France
5979,Flybridge,,Used boat,2013,24.71,6.28,GRP,Netherlands,84,EUR,2150000.0,Netherlands
5980,Motor Yacht,Sunseeker power boats,Used boat,2017,21.7,5.12,GRP,Spain Â» Poligono Industrial a Tomada,45,EUR,2150000.0,Spain
5981,Motor Yacht,Sunseeker power boats,Diesel,2017,21.7,5.12,GRP,Spain Â» Poligono Industrial a Tomada,45,EUR,2150000.0,Spain
5982,Motor Yacht,Fairline power boats,new boat from stock,0,19.96,5.23,GRP,Germany Â» Ostsee Â» OSTSEE / DEUTSCHLAND,211,EUR,2142000.0,Germany
5983,Motor Yacht,Fairline power boats,Diesel,0,19.96,5.23,GRP,Germany Â» Ostsee Â» OSTSEE / DEUTSCHLAND,211,EUR,2142000.0,Germany
5984,Hardtop,Sunseeker power boats,Used boat,2014,24.97,5.97,GRP,France Â» Cannes,94,GBP,2274090.0,France
5985,Hardtop,Sunseeker power boats,Diesel,2014,24.97,5.97,GRP,France Â» Cannes,94,GBP,2274090.0,France
5986,Flybridge,Sunseeker power boats,Used boat,2016,22.86,5.52,GRP,Spain Â» Alicante,56,GBP,2274090.0,Spain
5987,Flybridge,Sunseeker power boats,Diesel,2016,22.86,5.52,GRP,Spain Â» Alicante,56,GBP,2274090.0,Spain
5988,Motor Yacht,,new boat from stock,2020,22.86,6.05,,United Arab Emirates Â» Dubai & VAE,53,EUR,2118000.0,United Kingdom
5989,Motor Yacht,,Diesel,2020,22.86,6.05,,United Arab Emirates Â» Dubai & VAE,53,EUR,2118000.0,United Kingdom
5990,Motor Yacht,Sunseeker power boats,Used boat,2009,27.43,6.34,GRP,Turkey Â» Marmaris,85,EUR,2100000.0,Turkey
5991,Motor Yacht,Sunseeker power boats,Diesel,2009,27.43,6.34,GRP,Turkey Â» Marmaris,85,EUR,2100000.0,Turkey
5992,Passenger boat,,Used boat,2003,41.76,11.0,Steel,,145,EUR,2100000.0,
5993,Passenger boat,,Diesel,2003,41.76,11.0,Steel,,145,EUR,2100000.0,
5994,Flybridge,MCY power boats,Used boat,2011,23.05,5.65,PVC,"Italy Â» CALVIA, Italie",45,EUR,2100000.0,Italy
5995,Flybridge,MCY power boats,Diesel,2011,23.05,5.65,PVC,"Italy Â» CALVIA, Italie",45,EUR,2100000.0,Italy
5996,Flybridge,Astondoa power boats,Used boat,2014,24.92,6.0,GRP,Spain Â» Alicante,96,EUR,2100000.0,Spain
5997,Flybridge,Astondoa power boats,Diesel,2014,24.92,6.0,GRP,Spain Â» Alicante,96,EUR,2100000.0,Spain
5998,Motor Yacht,Sanlorenzo power boats,Used boat,2007,26.9,6.75,GRP,Italy Â» Mar Ligure,64,EUR,2100000.0,Italy
5999,Motor Yacht,Sanlorenzo power boats,Diesel,2007,26.9,6.75,GRP,Italy Â» Mar Ligure,64,EUR,2100000.0,Italy
6000,Flybridge,Sunseeker power boats,Used boat,2019,22.1,5.2,GRP,Germany,141,EUR,2050000.0,Germany
6001,Flybridge,Sunseeker power boats,Diesel,2019,22.1,5.2,GRP,Germany,141,EUR,2050000.0,Germany
6002,Motor Yacht,Fiart Mare power boats,new boat on order,2020,18.5,5.15,PVC,France,105,EUR,2016000.0,France
6003,Motor Yacht,Fiart Mare power boats,Diesel,2020,18.5,5.15,PVC,France,105,EUR,2016000.0,France
6004,Motor Yacht,Riva power boats,Used boat,2012,26.4,6.2,,Netherlands,200,EUR,2650000.0,Netherlands
6005,Motor Yacht,Azimut power boats,Used boat,2012,26.8,6.57,GRP,Spain Â» Mallorca Â» Palma,127,EUR,2650000.0,Spain
6006,Motor Yacht,Azimut power boats,Diesel,2012,26.8,6.57,GRP,Spain Â» Mallorca Â» Palma,127,EUR,2650000.0,Spain
6007,Flybridge,Sunseeker power boats,Used boat,2017,23.1,5.73,GRP,Switzerland Â» Southcoast GB ,251,GBP,2793049.0,Switzerland
6008,Flybridge,Sunseeker power boats,Diesel,2017,23.1,5.73,GRP,Switzerland Â» Southcoast GB ,251,GBP,2793049.0,Switzerland
6009,Motor Yacht,Sanlorenzo power boats,new boat from stock,2019,23.75,6.6,GRP,Netherlands,101,EUR,2620000.0,Netherlands
6010,Motor Yacht,,Used boat,2004,24.08,6.93,Steel,,63,EUR,2600000.0,
6011,Motor Yacht,,Diesel,2004,24.08,6.93,Steel,,63,EUR,2600000.0,
6012,Mega Yacht,Cantieri Schiavone power boats,Used boat,2020,23.4,6.5,Aluminium,Italy Â» Calabria Â» Nettuno-Roma,375,EUR,2600000.0,Italy
6013,Mega Yacht,Cantieri Schiavone power boats,Diesel,2020,23.4,6.5,Aluminium,Italy Â» Calabria Â» Nettuno-Roma,375,EUR,2600000.0,Italy
6014,Motor Yacht,Sunseeker power boats,Used boat,2003,32.0,6.3,GRP,Croatia (Hrvatska) Â» Split,198,EUR,2500000.0,Croatia
6015,Motor Yacht,Sunseeker power boats,Diesel,2003,32.0,6.3,GRP,Croatia (Hrvatska) Â» Split,198,EUR,2500000.0,Croatia
6016,Motor Yacht,,,1978,31.3,6.73,,Spain Â» Mallorca Â» Mittelmeer Mallorca,69,EUR,2500000.0,Spain
6017,Motor Yacht,Princess power boats,Used boat,2008,29.42,7.06,GRP,Italy Â» Sardinien,134,EUR,2500000.0,Italy
6018,Motor Yacht,Princess power boats,Diesel,2008,29.42,7.06,GRP,Italy Â» Sardinien,134,EUR,2500000.0,Italy
6019,Mega Yacht,Bandido Yachts power boats,Used boat,2007,26.8,7.0,,Turkey Â» TÃ¼rkei,139,EUR,2500000.0,Turkey
6020,Mega Yacht,Bandido Yachts power boats,Diesel,2007,26.8,7.0,,Turkey Â» TÃ¼rkei,139,EUR,2500000.0,Turkey
6021,Motor Yacht,Sanlorenzo power boats,Used boat,2006,26.75,6.75,GRP,France Â» Port La Napoule,118,EUR,2500000.0,France
6022,Motor Yacht,Sanlorenzo power boats,Diesel,2006,26.75,6.75,GRP,France Â» Port La Napoule,118,EUR,2500000.0,France
6023,Mega Yacht,,Used boat,2012,36.0,7.3,Steel,,135,EUR,2500000.0,
6024,Mega Yacht,,Diesel,2012,36.0,7.3,Steel,,135,EUR,2500000.0,
6025,Flybridge,Azimut power boats,Used boat,2007,31.39,6.64,GRP,Bulgaria Â» .,70,EUR,2500000.0,Bulgaria
6026,Flybridge,Azimut power boats,Diesel,2007,31.39,6.64,GRP,Bulgaria Â» .,70,EUR,2500000.0,Bulgaria
6027,Motor Yacht,Brizo Yachts power boats,new boat from stock,2020,18.0,5.0,,Finland Â» Ostsee Â» Ostsee Finnland,87,EUR,2499000.0,Finland
6028,Motor Yacht,Brizo Yachts power boats,Diesel,2020,18.0,5.0,,Finland Â» Ostsee Â» Ostsee Finnland,87,EUR,2499000.0,Finland
6029,Motor Yacht,,Used boat,1962,27.0,6.5,,Italy Â» Sardegna Â» Sardegna,65,EUR,2490000.0,Italy
6030,Motor Yacht,Richard Dunston power boats,Used boat,1967,44.2,7.0,,Italy Â» Genova,197,EUR,3600000.0,Italy
6031,Motor Yacht,Richard Dunston power boats,Diesel,1967,44.2,7.0,,Italy Â» Genova,197,EUR,3600000.0,Italy
6032,Flybridge,Sunseeker power boats,Used boat,2019,23.62,5.97,GRP,Spain Â» Mallorca Â» Mallorca,87,GBP,3790150.0,Spain
6033,Flybridge,Sunseeker power boats,Diesel,2019,23.62,5.97,GRP,Spain Â» Mallorca Â» Mallorca,87,GBP,3790150.0,Spain
6034,Mega Yacht,,Used boat,2008,37.0,7.3,GRP,Netherlands,235,EUR,3500000.0,Netherlands
6035,Motor Yacht,Benetti power boats,Used boat,1964,30.0,7.7,Steel,Italy,187,EUR,3500000.0,Italy
6036,Motor Yacht,Benetti power boats,Diesel,1964,30.0,7.7,Steel,Italy,187,EUR,3500000.0,Italy
6037,Motor Yacht,,new boat from stock,2020,22.86,6.05,,United Arab Emirates Â» Dubai & VAE,123,EUR,3490000.0,United Kingdom
6038,Motor Yacht,,Diesel,2020,22.86,6.05,,United Arab Emirates Â» Dubai & VAE,123,EUR,3490000.0,United Kingdom
6039,Mega Yacht,,Used boat,2009,33.7,7.8,GRP,Turkey Â» Marmaris,77,EUR,3480000.0,Turkey
6040,Mega Yacht,,Diesel,2009,33.7,7.8,GRP,Turkey Â» Marmaris,77,EUR,3480000.0,Turkey
6041,Motor Yacht,BLUEGAME power boats,new boat from stock,2020,21.86,5.6,GRP,Netherlands,95,EUR,3447580.0,Netherlands
6042,Motor Yacht,Riva power boats,new boat from stock,2020,20.54,5.29,GRP,Netherlands,285,EUR,3410000.0,Netherlands
6043,Motor Yacht,Sossego power boats,Used boat,2015,22.0,5.8,Aluminium,Spain Â» Mallorca Â» Mallorca,71,EUR,3400000.0,Spain
6044,Motor Yacht,Sossego power boats,Diesel,2015,22.0,5.8,Aluminium,Spain Â» Mallorca Â» Mallorca,71,EUR,3400000.0,Spain
6045,Flybridge,Sunseeker power boats,Used boat,2011,27.13,6.4,GRP,Portugal Â» Vilamoura,66,EUR,3400000.0,Portugal
6046,Flybridge,Sunseeker power boats,Diesel,2011,27.13,6.4,GRP,Portugal Â» Vilamoura,66,EUR,3400000.0,Portugal
6047,Motor Yacht,Sunseeker power boats,Used boat,2013,28.15,6.5,GRP,Spain Â» Alicante,121,EUR,3390000.0,Spain
6048,Mega Yacht,Majesty Yachts power boats,Diesel,2013,32.68,6.85,,Italy Â» Mittelmeer Italien,117,EUR,3300000.0,Italy
6049,Mega Yacht,Gulf Craft power boats,Used boat,2013,32.56,7.1,,Italy Â» Viareggio,107,EUR,3300000.0,Italy
6050,Mega Yacht,Gulf Craft power boats,Diesel,2013,32.56,7.1,,Italy Â» Viareggio,107,EUR,3300000.0,Italy
6051,Flybridge,Sunseeker power boats,Used boat,2018,23.62,5.97,GRP,Greece Â» Athens,52,GBP,3492769.0,Greece
6052,Flybridge,Sunseeker power boats,Diesel,2018,23.62,5.97,GRP,Greece Â» Athens,52,GBP,3492769.0,Greece
6053,Motor Yacht,Sanlorenzo power boats,Used boat,2008,26.75,6.75,GRP,Croatia (Hrvatska),56,EUR,3200000.0,Croatia
6054,Flybridge,Princess power boats,Used boat,2017,24.38,5.64,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL DUBROVNIK,73,EUR,3200000.0,Croatia
6055,Flybridge,Princess power boats,Diesel,2017,24.38,5.64,GRP,Croatia (Hrvatska) Â» INFO BOOTE RIEDL DUBROVNIK,73,EUR,3200000.0,Croatia
6056,Motor Yacht,,Used boat,2018,27.18,7.53,GRP,Italy,141,EUR,5600000.0,Italy
6057,Motor Yacht,,Diesel,2018,27.18,7.53,GRP,Italy,141,EUR,5600000.0,Italy
6058,Mega Yacht,,Used boat,2012,30.6,7.25,GRP,Netherlands,296,EUR,5600000.0,Netherlands
6059,Mega Yacht,Ferretti power boats,Used boat,2013,29.7,7.08,GRP,Portugal Â» Vilamoura,106,EUR,5500000.0,Portugal
6060,Mega Yacht,,new boat from stock,2020,30.55,7.4,,United Arab Emirates Â» Dubai & VAE,94,EUR,5416000.0,United Kingdom
6061,Mega Yacht,,Diesel,2020,30.55,7.4,,United Arab Emirates Â» Dubai & VAE,94,EUR,5416000.0,United Kingdom
6062,Mega Yacht,Sanlorenzo power boats,Used boat,2013,31.7,7.05,GRP,Spain,95,EUR,5400000.0,Spain
6063,Mega Yacht,Sanlorenzo power boats,Diesel,2013,31.7,7.05,GRP,Spain,95,EUR,5400000.0,Spain
6064,Motor Yacht,Sanlorenzo power boats,Used boat,2013,31.7,7.1,GRP,Spain Â» Mallorca Â» Palma de Mallorca,117,EUR,5400000.0,Spain
6065,Motor Yacht,Sanlorenzo power boats,Diesel,2013,31.7,7.1,GRP,Spain Â» Mallorca Â» Palma de Mallorca,117,EUR,5400000.0,Spain
6066,Motor Yacht,Sanlorenzo power boats,Used boat,2016,29.1,6.75,GRP,Netherlands,105,EUR,5400000.0,Netherlands
6067,Mega Yacht,,new boat from stock,2019,30.55,7.4,,Italy Â» Mittelmeer Italien,63,EUR,5350000.0,Italy
6068,Mega Yacht,,Diesel,2019,30.55,7.4,,Italy Â» Mittelmeer Italien,63,EUR,5350000.0,Italy
6069,Motor Yacht,Princess power boats,Used boat,2018,26.9,6.3,GRP,Italy Â» Sardinien,695,GBP,5656070.0,Italy
6070,Motor Yacht,Princess power boats,Diesel,2018,26.9,6.3,GRP,Italy Â» Sardinien,695,GBP,5656070.0,Italy
6071,Mega Yacht,Benetti power boats,Used boat,2012,31.7,7.01,,Malta Â» San ?iljan,60,EUR,5300000.0,Malta
6072,Mega Yacht,Benetti power boats,Diesel,2012,31.7,7.01,,Malta Â» San ?iljan,60,EUR,5300000.0,Malta
6073,Flybridge,Sunseeker power boats,new boat from stock,2020,26.3,6.48,GRP,United Kingdom Â» Poole,59,GBP,5574436.0,United Kingdom
6074,Flybridge,Sunseeker power boats,Diesel,2020,26.3,6.48,GRP,United Kingdom Â» Poole,59,GBP,5574436.0,United Kingdom
6075,Motor Yacht,Sanlorenzo power boats,new boat from stock,2020,23.75,6.6,GRP,Netherlands,110,EUR,5208850.0,Netherlands
6076,Mega Yacht,Benetti power boats,Used boat,1991,46.09,8.57,Steel,Italy Â» Genova,108,EUR,4995000.0,Italy
6077,Mega Yacht,Benetti power boats,Diesel,1991,46.09,8.57,Steel,Italy Â» Genova,108,EUR,4995000.0,Italy
6078,Motor Yacht,,Used boat,2019,26.7,,,Italy Â» Toskana,117,EUR,4950000.0,Italy
6079,Motor Yacht,Bugari power boats,Used boat,2019,26.51,,,Italy Â» Marcas,96,EUR,4936000.0,Italy
6080,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,43.3,8.2,,United Arab Emirates Â» Dubai & VAE,167,EUR,16025000.0,United Kingdom
6081,Mega Yacht,Majesty Yachts power boats,Diesel,2020,43.3,8.2,,United Arab Emirates Â» Dubai & VAE,167,EUR,16025000.0,United Kingdom
6082,Mega Yacht,,Used boat,1998,54.5,10.0,Steel,Greece,325,EUR,14950000.0,Greece
6083,Mega Yacht,,Diesel,1998,54.5,10.0,Steel,Greece,325,EUR,14950000.0,Greece
6084,Mega Yacht,,Diesel,2010,44.7,8.5,,Germany Â» Mittelmeer SÃ¼dfrankreich,220,EUR,14850000.0,Germany
6085,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,37.0,8.1,,United Arab Emirates Â» Dubai & VAE,124,EUR,12150000.0,United Kingdom
6086,Mega Yacht,Majesty Yachts power boats,Diesel,2020,37.0,8.1,,United Arab Emirates Â» Dubai & VAE,124,EUR,12150000.0,United Kingdom
6087,Mega Yacht,,new boat from stock,0,37.1,8.0,,Germany,230,EUR,11995000.0,Germany
6088,Mega Yacht,,Diesel,0,37.1,8.0,,Germany,230,EUR,11995000.0,Germany
6089,Mega Yacht,Bandido Yachts power boats,new boat from stock,0,35.0,8.8,,Germany,177,EUR,11900000.0,Germany
6090,Mega Yacht,Sunseeker power boats,Used boat,2019,35.36,7.35,GRP,Italy Â» San Remo,317,EUR,11900000.0,Italy
6091,Mega Yacht,Sunseeker power boats,Diesel,2019,35.36,7.35,GRP,Italy Â» San Remo,317,EUR,11900000.0,Italy
6092,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,38.4,7.5,,United Arab Emirates Â» Dubai & VAE,76,EUR,11460000.0,United Kingdom
6093,Mega Yacht,Majesty Yachts power boats,Diesel,2020,38.4,7.5,,United Arab Emirates Â» Dubai & VAE,76,EUR,11460000.0,United Kingdom
6094,Mega Yacht,Sunseeker power boats,Used boat,2017,35.36,7.35,GRP,Monaco,197,EUR,11000000.0,Monaco
6095,Mega Yacht,Sunseeker power boats,Diesel,2017,35.36,7.35,GRP,Monaco,197,EUR,11000000.0,Monaco
6096,Mega Yacht,Sunseeker power boats,Used boat,2015,40.23,7.83,GRP,France Â» Antibes,178,GBP,11656169.0,France
6097,Mega Yacht,Sunseeker power boats,Diesel,2015,40.23,7.83,GRP,France Â» Antibes,178,GBP,11656169.0,France
6098,Mega Yacht,Sunseeker power boats,Used boat,2018,35.2,7.35,GRP,Spain Â» Altea,225,EUR,10800000.0,Spain
6099,Mega Yacht,Sunseeker power boats,Diesel,2018,35.2,7.35,GRP,Spain Â» Altea,225,EUR,10800000.0,Spain
6100,Mega Yacht,Sanlorenzo power boats,Used boat,2016,36.5,7.6,GRP,Netherlands,220,EUR,10500000.0,Netherlands
6101,Mega Yacht,Baglietto power boats,Used boat,2010,41.7,8.0,Aluminium,Italy Â» La Spezia,267,EUR,9900000.0,Italy
6102,Mega Yacht,Baglietto power boats,Diesel,2010,41.7,8.0,Aluminium,Italy Â» La Spezia,267,EUR,9900000.0,Italy
6103,Motor Yacht,Bandido Yachts power boats,new boat from stock,2020,30.4,8.25,,Germany,160,EUR,9300000.0,Germany
6104,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,54.4,9.6,,United Arab Emirates Â» Dubai & VAE,1009,EUR,31000000.0,United Kingdom
6105,Mega Yacht,Majesty Yachts power boats,Diesel,2020,54.4,9.6,,United Arab Emirates Â» Dubai & VAE,1009,EUR,31000000.0,United Kingdom
6106,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,47.6,9.6,,United Arab Emirates Â» Dubai & VAE,304,EUR,24050000.0,United Kingdom
6107,Mega Yacht,Majesty Yachts power boats,Diesel,2020,47.6,9.6,,United Arab Emirates Â» Dubai & VAE,304,EUR,24050000.0,United Kingdom
6108,Mega Yacht,Benetti power boats,Used boat,2007,56.0,10.4,Steel,Greece Â» Athen,419,EUR,23500000.0,Greece
6109,Mega Yacht,Benetti power boats,Diesel,2007,56.0,10.4,Steel,Greece Â» Athen,419,EUR,23500000.0,Greece
6110,Mega Yacht,Bandido Yachts power boats,new boat from stock,0,45.0,9.5,,Germany,194,EUR,19900000.0,Germany
6111,Mega Yacht,Bandido Yachts power boats,Diesel,0,45.0,9.5,,Germany,194,EUR,19900000.0,Germany
6112,Mega Yacht,Bandido Yachts power boats,new boat from stock,2020,40.0,9.5,,Germany,110,EUR,16900000.0,Germany
6113,Mega Yacht,Bandido Yachts power boats,Diesel,2020,40.0,9.5,,Germany,110,EUR,16900000.0,Germany
6114,Mega Yacht,Moonen power boats,new boat from stock,0,36.3,8.0,,Germany Â» Nordsee Holland,86,EUR,16750000.0,Germany
6115,Mega Yacht,Moonen power boats,new boat from stock,2020,36.3,8.0,,Germany Â» Nordsee Holland,130,EUR,16750000.0,Germany
6116,Mega Yacht,Sunseeker power boats,Used boat,2012,40.05,8.09,GRP,Netherlands,219,EUR,9250000.0,Netherlands
6117,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,37.3,7.5,,United Arab Emirates Â» Dubai & VAE,82,EUR,9230000.0,United Kingdom
6118,Mega Yacht,Majesty Yachts power boats,Diesel,2020,37.3,7.5,,United Arab Emirates Â» Dubai & VAE,82,EUR,9230000.0,United Kingdom
6119,Mega Yacht,Majesty Yachts power boats,new boat from stock,2020,34.83,7.1,,Italy Â» Dubai & VAE,82,EUR,9076600.0,Italy
